Luminance,Diameter
0.00,6.98
0.00,6.82
0.0,7.67
0.00,6.87
0.00,7.209
0.00,7.599047187
0.00011,6.98
0.00011,6.80
0.00011,7.66
0.00011,6.86
0.00011,7.204823582
0.00011,7.586478087
0.000121,6.98
0.000121,6.79
0.000121,7.65
0.000121,6.85
0.000121,7.200407294
0.000121,7.57354498
0.0001331,6.98
0.0001331,6.78
0.0001331,7.64
0.0001331,6.84
0.0001331,7.195751137
0.0001331,7.560239225
0.00014641,6.98
0.00014641,6.76
0.00014641,7.63
0.00014641,6.83
0.00014641,7.190855111
0.00014641,7.546552094
0.000161051,6.98
0.000161051,6.75
0.000161051,7.62
0.000161051,6.82
0.000161051,7.185719214
0.000161051,7.532474785
0.000177156,6.98
0.000177156,6.73
0.000177156,7.62
0.000177156,6.81
0.000177156,7.180343448
0.000177156,7.517998423
0.000194872,6.98
0.000194872,6.72
0.000194872,7.61
0.000194872,6.80
0.000194872,7.174727812
0.000194872,7.503114075
0.000214359,6.98
0.000214359,6.70
0.000214359,7.60
0.000214359,6.79
0.000214359,7.168872307
0.000214359,7.487812758
0.000235795,6.98
0.000235795,6.68
0.000235795,7.59
0.000235795,6.77
0.000235795,7.162776932
0.000235795,7.472085448
0.000259374,6.97
0.000259374,6.67
0.000259374,7.58
0.000259374,6.76
0.000259374,7.156441688
0.000259374,7.455923091
0.000285312,6.97
0.000285312,6.65
0.000285312,7.57
0.000285312,6.75
0.000285312,7.149866574
0.000285312,7.439316616
0.000313843,6.97
0.000313843,6.63
0.000313843,7.56
0.000313843,6.74
0.000313843,7.14305159
0.000313843,7.422256947
0.000345227,6.97
0.000345227,6.61
0.000345227,7.55
0.000345227,6.72
0.000345227,7.135996737
0.000345227,7.404735016
0.00037975,6.97
0.00037975,6.59
0.00037975,7.53
0.00037975,6.71
0.00037975,7.128702014
0.00037975,7.386741778
0.000417725,6.97
0.000417725,6.57
0.000417725,7.52
0.000417725,6.70
0.000417725,7.121167421
0.000417725,7.368268226
0.000459497,6.97
0.000459497,6.55
0.000459497,7.51
0.000459497,6.68
0.000459497,7.113392959
0.000459497,7.349305405
0.000505447,6.97
0.000505447,6.53
0.000505447,7.50
0.000505447,6.67
0.000505447,7.105378627
0.000505447,7.329844432
0.000555992,6.96
0.000555992,6.51
0.000555992,7.49
0.000555992,6.65
0.000555992,7.097124426
0.000555992,7.30987651
0.000611591,6.96
0.000611591,6.49
0.000611591,7.47
0.000611591,6.64
0.000611591,7.088630355
0.000611591,7.289392948
0.00067275,6.96
0.00067275,6.47
0.00067275,7.46
0.00067275,6.63
0.00067275,7.079896414
0.00067275,7.268385183
0.000740025,6.96
0.000740025,6.45
0.000740025,7.45
0.000740025,6.61
0.000740025,7.070922604
0.000740025,7.246844794
0.000814027,6.96
0.000814027,6.42
0.000814027,7.43
0.000814027,6.60
0.000814027,7.061708924
0.000814027,7.224763529
0.00089543,6.96
0.00089543,6.40
0.00089543,7.42
0.00089543,6.58
0.00089543,7.052255375
0.00089543,7.202133324
0.000984973,6.96
0.000984973,6.37
0.000984973,7.40
0.000984973,6.56
0.000984973,7.042561956
0.000984973,7.178946324
0.001083471,6.95
0.001083471,6.35
0.001083471,7.39
0.001083471,6.55
0.001083471,7.032628667
0.001083471,7.15519491
0.001191818,6.95
0.001191818,6.32
0.001191818,7.37
0.001191818,6.53
0.001191818,7.022455509
0.001191818,7.130871722
0.001310999,6.95
0.001310999,6.30
0.001310999,7.36
0.001310999,6.52
0.001310999,7.012042481
0.001310999,7.105969681
0.001442099,6.95
0.001442099,6.27
0.001442099,7.34
0.001442099,6.50
0.001442099,7.001389583
0.001442099,7.08048202
0.001586309,6.95
0.001586309,6.24
0.001586309,7.32
0.001586309,6.48
0.001586309,6.990496816
0.001586309,7.054402304
0.00174494,6.94
0.00174494,6.21
0.00174494,7.31
0.00174494,6.46
0.00174494,6.979364179
0.00174494,7.027724461
0.001919434,6.94
0.001919434,6.19
0.001919434,7.29
0.001919434,6.45
0.001919434,6.967991673
0.001919434,7.00044281
0.002111378,6.94
0.002111378,6.16
0.002111378,7.27
0.002111378,6.43
0.002111378,6.956379297
0.002111378,6.972552085
0.002322515,6.94
0.002322515,6.13
0.002322515,7.25
0.002322515,6.41
0.002322515,6.944527051
0.002322515,6.944047464
0.002554767,6.94
0.002554767,6.10
0.002554767,7.23
0.002554767,6.39
0.002554767,6.932434936
0.002554767,6.9149246
0.002810244,6.93
0.002810244,6.07
0.002810244,7.21
0.002810244,6.38
0.002810244,6.920102951
0.002810244,6.885179647
0.003091268,6.93
0.003091268,6.03
0.003091268,7.19
0.003091268,6.36
0.003091268,6.907531097
0.003091268,6.854809291
0.003400395,6.93
0.003400395,6.00
0.003400395,7.17
0.003400395,6.34
0.003400395,6.894719373
0.003400395,6.823810775
0.003740434,6.93
0.003740434,5.97
0.003740434,7.15
0.003740434,6.32
0.003740434,6.881667779
0.003740434,6.792181931
0.004114478,6.92
0.004114478,5.94
0.004114478,7.13
0.004114478,6.30
0.004114478,6.868376316
0.004114478,6.759921206
0.004525926,6.92
0.004525926,5.90
0.004525926,7.10
0.004525926,6.28
0.004525926,6.854844983
0.004525926,6.727027694
0.004978518,6.92
0.004978518,5.87
0.004978518,7.08
0.004978518,6.26
0.004978518,6.841073781
0.004978518,6.693501156
0.00547637,6.91
0.00547637,5.83
0.00547637,7.06
0.00547637,6.24
0.00547637,6.827062708
0.00547637,6.659342054
0.006024007,6.91
0.006024007,5.80
0.006024007,7.03
0.006024007,6.22
0.006024007,6.812811767
0.006024007,6.624551572
0.006626408,6.91
0.006626408,5.76
0.006626408,7.01
0.006626408,6.20
0.006626408,6.798320955
0.006626408,6.589131646
0.007289048,6.90
0.007289048,5.73
0.007289048,6.98
0.007289048,6.18
0.007289048,6.783590274
0.007289048,6.553084982
0.008017953,6.90
0.008017953,5.69
0.008017953,6.95
0.008017953,6.16
0.008017953,6.768619724
0.008017953,6.516415085
0.008819749,6.89
0.008819749,5.65
0.008819749,6.93
0.008819749,6.13
0.008819749,6.753409304
0.008819749,6.479126273
